FinancialYear,ProviderType,patients,rank
2014-15,Psychiatrists,362079,4
2014-15,General practitioners,1672647,1
2014-15,Clinical psychologists,409538,3
2014-15,Other psychologists,558902,2
2014-15,Other allied health providers,71665,5
2015-16,Psychiatrists,376240,4
2015-16,General practitioners,1848948,1
2015-16,Clinical psychologists,450449,3
2015-16,Other psychologists,620498,2
2015-16,Other allied health providers,82028,5
2016-17,Psychiatrists,386268,4
2016-17,General practitioners,1971130,1
2016-17,Clinical psychologists,483369,3
2016-17,Other psychologists,653709,2
2016-17,Other allied health providers,91803,5
2017-18,Psychiatrists,400038,4
2017-18,General practitioners,2087675,1
2017-18,Clinical psychologists,514832,3
2017-18,Other psychologists,697182,2
2017-18,Other allied health providers,100364,5
2018-19,Psychiatrists,414054,4
2018-19,General practitioners,2200910,1
2018-19,Clinical psychologists,539566,3
2018-19,Other psychologists,728981,2
2018-19,Other allied health providers,109536,5
2019-20,Psychiatrists,431495,4
2019-20,General practitioners,2252555,1
2019-20,Clinical psychologists,563571,3
2019-20,Other psychologists,735553,2
2019-20,Other allied health providers,114680,5
2020-21,Psychiatrists,469045,4
2020-21,General practitioners,2393722,1
2020-21,Clinical psychologists,570211,3
2020-21,Other psychologists,765809,2
2020-21,Other allied health providers,125251,5
2021-22,Psychiatrists,492386,4
2021-22,General practitioners,2225175,1
2021-22,Clinical psychologists,534507,3
2021-22,Other psychologists,735783,2
2021-22,Other allied health providers,124079,5
2022-23,Psychiatrists,516474,4
2022-23,General practitioners,2166207,1
2022-23,Clinical psychologists,528710,3
2022-23,Other psychologists,715566,2
2022-23,Other allied health providers,119196,5
2023-24,Psychiatrists,573958,3
2023-24,General practitioners,2113296,1
2023-24,Clinical psychologists,545010,4
2023-24,Other psychologists,723855,2
2023-24,Other allied health providers,116255,5
