year,triage_category,presentations
2014-15,Resuscitation,1995
2015-16,Resuscitation,2387
2016-17,Resuscitation,2572
2017-18,Resuscitation,2887
2018-19,Resuscitation,3097
2019-20,Resuscitation,3888
2020-21,Resuscitation,4305
2021-22,Resuscitation,3855
2022-23,Resuscitation,4921
2023-24,Resuscitation,6113
2014-15,Emergency,31403
2015-16,Emergency,35454
2016-17,Emergency,37411
2017-18,Emergency,41390
2018-19,Emergency,46557
2019-20,Emergency,50602
2020-21,Emergency,53596
2021-22,Emergency,51040
2022-23,Emergency,56108
2023-24,Emergency,63042
2014-15,Urgent,120195
2015-16,Urgent,130413
2016-17,Urgent,134813
2017-18,Urgent,141662
2018-19,Urgent,149873
2019-20,Urgent,156234
2020-21,Urgent,161725
2021-22,Urgent,146256
2022-23,Urgent,149765
2023-24,Urgent,161447
2014-15,Semi-urgent,82384
2015-16,Semi-urgent,85121
2016-17,Semi-urgent,84472
2017-18,Semi-urgent,83990
2018-19,Semi-urgent,84548
2019-20,Semi-urgent,83030
2020-21,Semi-urgent,80340
2021-22,Semi-urgent,70349
2022-23,Semi-urgent,67488
2023-24,Semi-urgent,69988
2014-15,Non-urgent,18897
2015-16,Non-urgent,24249
2016-17,Non-urgent,17643
2017-18,Non-urgent,17030
2018-19,Non-urgent,19240
2019-20,Non-urgent,16712
2020-21,Non-urgent,9682
2021-22,Non-urgent,8667
2022-23,Non-urgent,9122
2023-24,Non-urgent,9565
2014-15,Total,254901
2015-16,Total,277676
2016-17,Total,276954
2017-18,Total,286985
2018-19,Total,303340
2019-20,Total,310471
2020-21,Total,309657
2021-22,Total,280176
2022-23,Total,287419
2023-24,Total,310162
