year,funding_source,expenditure_million
2014-15,State and territory governments,5073.0
2015-16,State and territory governments,5338.0
2016-17,State and territory governments,5635.0
2017-18,State and territory governments,6001.0
2018-19,State and territory governments,6394.0
2019-20,State and territory governments,6610.0
2020-21,State and territory governments,6958.0
2021-22,State and territory governments,7307.0
2022-23,State and territory governments,7968.0
2023-24,State and territory governments,9002.0
2014-15,Australian Government,3044.0
2015-16,Australian Government,3134.0
2016-17,Australian Government,3202.0
2017-18,Australian Government,3366.0
2018-19,Australian Government,3623.0
2019-20,Australian Government,3865.0
2020-21,Australian Government,4023.0
2021-22,Australian Government,4277.0
2022-23,Australian Government,4594.0
2023-24,Australian Government,4786.0
2014-15,Private health and other third party insurers,408.0
2015-16,Private health and other third party insurers,466.0
2016-17,Private health and other third party insurers,508.0
2017-18,Private health and other third party insurers,532.0
2018-19,Private health and other third party insurers,585.0
2019-20,Private health and other third party insurers,580.0
2020-21,Private health and other third party insurers,614.0
2021-22,Private health and other third party insurers,591.0
2022-23,Private health and other third party insurers,622.0
2023-24,Private health and other third party insurers,684.0
