source,target,contacts
35-44,Schizophrenia & psychosis,578938
45-54,Schizophrenia & psychosis,536485
25-34,Schizophrenia & psychosis,461752
55-64,Schizophrenia & psychosis,318074
12-17,Anxiety & stress,276321
65+,Mood disorders,223210
65+,Schizophrenia & psychosis,204253
18-24,Schizophrenia & psychosis,180669
25-34,Mood disorders,145628
25-34,Anxiety & stress,142173
35-44,Mood disorders,139749
45-54,Mood disorders,132675
18-24,Anxiety & stress,122512
55-64,Mood disorders,119883
25-34,Personality disorders,115184
35-44,Anxiety & stress,106629
18-24,Personality disorders,105924
45-54,Anxiety & stress,82524
65+,Anxiety & stress,82060
18-24,Mood disorders,80862
12-17,Mood disorders,75877
35-44,Personality disorders,65541
25-34,Substance use,63203
35-44,Substance use,57497
55-64,Anxiety & stress,54674
0-11,Anxiety & stress,49700
45-54,Personality disorders,43861
12-17,Personality disorders,41476
45-54,Substance use,38956
18-24,Substance use,30270
12-17,Schizophrenia & psychosis,26166
55-64,Personality disorders,21563
55-64,Substance use,14103
65+,Personality disorders,13337
12-17,Substance use,9322
65+,Substance use,5698
0-11,Mood disorders,1724
0-11,Personality disorders,1029
0-11,Substance use,96
0-11,Schizophrenia & psychosis,21
