FinancialYear,GeographicAreaType,GeographicAreaCode,GeographicAreaName,ProviderType,Measure,Value
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,"Patient rate per 1,000 population",85
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,"Patient rate per 1,000 population",67
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,"Patient rate per 1,000 population",22
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,Patients,128437
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,Patients,31504
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,Patients,100488
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,Patients,3287
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,Patients,32825
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,Patients,27250
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,"Service rate per 1,000 population",462
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,"Service rate per 1,000 population",104
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,"Service rate per 1,000 population",118
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,"Service rate per 1,000 population",11
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,"Service rate per 1,000 population",99
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,"Service rate per 1,000 population",130
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,Services,698234
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,Services,157503
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,Services,177923
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,Services,16722
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,Services,149811
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,Services,196276
2014–15,PHN,PHN-102,Northern Sydney,All providers,"Patient rate per 1,000 population",79
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,"Patient rate per 1,000 population",58
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,"Patient rate per 1,000 population",19
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-102,Northern Sydney,All providers,Patients,70407
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,Patients,18678
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,Patients,51111
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,Patients,1932
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,Patients,17056
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,Patients,18234
2014–15,PHN,PHN-102,Northern Sydney,All providers,"Service rate per 1,000 population",449
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,"Service rate per 1,000 population",102
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,"Service rate per 1,000 population",94
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,"Service rate per 1,000 population",11
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,"Service rate per 1,000 population",86
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,"Service rate per 1,000 population",156
2014–15,PHN,PHN-102,Northern Sydney,All providers,Services,397420
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,Services,90112
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,Services,83596
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,Services,9713
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,Services,75788
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,Services,138211
2014–15,PHN,PHN-103,Western Sydney,All providers,"Patient rate per 1,000 population",81
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,"Patient rate per 1,000 population",13
2014–15,PHN,PHN-103,Western Sydney,General practitioners,"Patient rate per 1,000 population",67
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,"Patient rate per 1,000 population",25
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,"Patient rate per 1,000 population",14
2014–15,PHN,PHN-103,Western Sydney,All providers,Patients,73377
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,Patients,11383
2014–15,PHN,PHN-103,Western Sydney,General practitioners,Patients,60129
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,Patients,1816
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,Patients,22162
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,Patients,12949
2014–15,PHN,PHN-103,Western Sydney,All providers,"Service rate per 1,000 population",372
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,"Service rate per 1,000 population",56
2014–15,PHN,PHN-103,Western Sydney,General practitioners,"Service rate per 1,000 population",119
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,"Service rate per 1,000 population",9
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,"Service rate per 1,000 population",105
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,"Service rate per 1,000 population",83
2014–15,PHN,PHN-103,Western Sydney,All providers,Services,336547
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,Services,50635
2014–15,PHN,PHN-103,Western Sydney,General practitioners,Services,107860
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,Services,7888
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,Services,94784
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,Services,75380
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,"Patient rate per 1,000 population",104
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,"Patient rate per 1,000 population",17
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,"Patient rate per 1,000 population",86
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,"Patient rate per 1,000 population",29
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,Patients,37279
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,Patients,6158
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,Patients,30789
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,Patients,813
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,Patients,10249
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,Patients,6516
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,"Service rate per 1,000 population",451
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,"Service rate per 1,000 population",75
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,"Service rate per 1,000 population",154
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,"Service rate per 1,000 population",9
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,"Service rate per 1,000 population",117
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,"Service rate per 1,000 population",97
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,Services,162258
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,Services,26886
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,Services,55193
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,Services,3379
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,Services,42002
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,Services,34799
2014–15,PHN,PHN-105,South Western Sydney,All providers,"Patient rate per 1,000 population",80
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,"Patient rate per 1,000 population",11
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,"Patient rate per 1,000 population",66
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,"Patient rate per 1,000 population",26
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,"Patient rate per 1,000 population",13
2014–15,PHN,PHN-105,South Western Sydney,All providers,Patients,73949
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,Patients,10320
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,Patients,60840
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,Patients,2147
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,Patients,23560
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,Patients,11947
2014–15,PHN,PHN-105,South Western Sydney,All providers,"Service rate per 1,000 population",347
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,"Service rate per 1,000 population",51
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,"Service rate per 1,000 population",116
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,"Service rate per 1,000 population",10
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,"Service rate per 1,000 population",108
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,"Service rate per 1,000 population",62
2014–15,PHN,PHN-105,South Western Sydney,All providers,Services,319333
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,Services,46898
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,Services,106452
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,Services,9518
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,Services,99343
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,Services,57121
2014–15,PHN,PHN-106,South Eastern NSW,All providers,"Patient rate per 1,000 population",97
2014–15,PHN,PHN-106,South Eastern NSW,Clinical psychologists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-106,South Eastern NSW,General practitioners,"Patient rate per 1,000 population",81
2014–15,PHN,PHN-106,South Eastern NSW,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-106,South Eastern NSW,Other psychologists,"Patient rate per 1,000 population",29
2014–15,PHN,PHN-106,South Eastern NSW,Psychiatrists,"Patient rate per 1,000 population",15
2014–15,PHN,PHN-106,South Eastern NSW,All providers,Patients,58211
2014–15,PHN,PHN-106,South Eastern NSW,Clinical psychologists,Patients,10932
2014–15,PHN,PHN-106,South Eastern NSW,General practitioners,Patients,48303
2014–15,PHN,PHN-106,South Eastern NSW,Other allied health providers,Patients,1392
2014–15,PHN,PHN-106,South Eastern NSW,Other psychologists,Patients,17099
