FinancialYear,ProviderType,Quarter,Sex,AgeGroup,Measure,Value
2014–15,Psychiatrists,July to September,Male,0–4 years,Patients,81
2014–15,Psychiatrists,July to September,Male,5–11 years,Patients,1850
2014–15,Psychiatrists,July to September,Male,12–17 years,Patients,4311
2014–15,Psychiatrists,July to September,Male,18–24 years,Patients,8962
2014–15,Psychiatrists,July to September,Male,25–34 years,Patients,14326
2014–15,Psychiatrists,July to September,Male,35–44 years,Patients,17071
2014–15,Psychiatrists,July to September,Male,45–54 years,Patients,16812
2014–15,Psychiatrists,July to September,Male,55–64 years,Patients,13954
2014–15,Psychiatrists,July to September,Male,65–74 years,Patients,6684
2014–15,Psychiatrists,July to September,Male,75–84 years,Patients,2470
2014–15,Psychiatrists,July to September,Male,85 years and over,Patients,692
2014–15,Psychiatrists,July to September,Male,Total,Patients,87213
2014–15,Psychiatrists,July to September,Male,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Male,5–11 years,"Patient rate per 1,000 population",2
2014–15,Psychiatrists,July to September,Male,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Male,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Male,25–34 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Male,35–44 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,July to September,Male,45–54 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,July to September,Male,55–64 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,July to September,Male,65–74 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,July to September,Male,75–84 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Male,85 years and over,"Patient rate per 1,000 population",4
2014–15,Psychiatrists,July to September,Male,Total,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,July to September,Male,0–4 years,Services,160
2014–15,Psychiatrists,July to September,Male,5–11 years,Services,3491
2014–15,Psychiatrists,July to September,Male,12–17 years,Services,9526
2014–15,Psychiatrists,July to September,Male,18–24 years,Services,22065
2014–15,Psychiatrists,July to September,Male,25–34 years,Services,36752
2014–15,Psychiatrists,July to September,Male,35–44 years,Services,46923
2014–15,Psychiatrists,July to September,Male,45–54 years,Services,46281
2014–15,Psychiatrists,July to September,Male,55–64 years,Services,38843
2014–15,Psychiatrists,July to September,Male,65–74 years,Services,17495
2014–15,Psychiatrists,July to September,Male,75–84 years,Services,6308
2014–15,Psychiatrists,July to September,Male,85 years and over,Services,1639
2014–15,Psychiatrists,July to September,Male,Total,Services,229483
